"FOODID","FOODNAME","CALORIES","CARBS","PROTEIN","FAT"
"5004","SALAD DRESSING, MUSTARD, OIL, JUICE, VINEGAR","304.02","5.3","0.8","30.9"
"5005","SALAD DRESSING, FRENCH DRESSING, OIL, VINEGAR","667.78","0.1","0","74.9"
"5006","TARTAR SAUCE","528.92","3","1.4","57.6"
"5007","SANDWICH RELISH","496.41","4","1.9","54.2"
"5008","BARBEQUE SAUCE","571.94","2.8","1","62.2"
"5009","BEARNAISE SAUCE","407.27","1.1","3.2","42.3"
"5010","SAUCE WITH VINEGAR AND SEASONING, PRESERVATION LIQUID","123.09","28.2","0","0"
"5900","COOKING FAT, AVERAGE","788","0.2","0.2","88.9"
"5901","FAT USED IN BAKING, BUTTER 50%, MARGARINE 50%","718.69","0.6","0.8","80.7"
"5904","FAT USED IN BUTTER DOUGH","717.26","0.4","0.6","80.7"
"5905","FAT USED IN COOKIES, BUTTER AND MARGARINE, FOR BAKING INDUSTRY","722.04","0.6","0.9","81"
"5906","FAT USED IN BREAD AND PIZZA","708.89","0","0.3","80"
"5907","(ARC)OIL FOR DEEP FAT FRYING, INDUSTRIAL","884.32","0","0","100"
"5917","HERB SPREAD, CREAM CHEESE, MARGARINE, GARLIC","379.78","2.9","2.4","40.1"
"6000","MILK CUSTARD, LOW-FAT, EGG","90.82","13.6","3.8","2.2"
"6001","MILK CUSTARD, LOW-FAT, WITHOUT SUGAR","74.33","9.7","3.9","2.1"
"6002","CHOCOLATE SOUP, LOW-FAT MILK","93.21","14.9","3.3","2"
"6003","CHOCOLATE SOUP, WITHOUT SUGAR","79.35","10.2","3.8","2.3"
"6004","MAIZE CUSTARD","93.45","13.1","4.3","2.5"
"6006","WHIPPED CREAM, SWEETENED","334.85","9.1","1.9","32.8"
"6007","COCOA, HOT CHOCOLATE, LOW-FAT MILK, SWEETENED","56.17","7","3.1","1.7"
"6008","COCOA, HOT CHOCOLATE, LOW-FAT MILK, UNSWEETENED","55.21","5","3.5","2.1"
"6009","BERRY MILK","68.59","11.1","2.3","1.2"
"6010","BERRY MILKSHAKE, LOW-FAT MILK, ICE CREAM","57.36","6.2","2.8","2.1"
"6011","BANANA MILKSHAKE, LOW-FAT MILK, ICE CREAM","62.62","7.8","2.8","2.1"
"6012","MOCCA/CHOCOLATE MILKSHAKE, LOW-FAT MILK, ICE CREAM","61.9","6","3.3","2.6"
"6015","QUARK, BERRY QUARK, DESSERT QUARK, CREAM, HOME-MADE","172.32","16.8","4","9.4"
"6016","QUARK, FRUIT QUARK, DESSERT QUARK, CREAM, HOME-MADE","153.92","13.6","3.9","9.1"
"6017","PASHA, PASCHA","350.38","22.7","5.2","26.4"
"6018","PUDDING, VANILLA PUDDING, CREAM, HOME-MADE","213.19","17.9","5.1","13.5"
"6019","PUDDING, CHOCOLATE PUDDING, CREAM, HOME-MADE","216.54","17.7","5.4","13.7"
"6022","PRUNE CREAM JELLY","226.82","20.6","2.3","14.5"
"6023","LEMON MOUSSE, CREAM, EGG, LEMON, SUGAR, GELATIN","259.32","10.9","5.2","21.7"
"6024","PUDDING, CHOCOLATE MOUSSE","291.83","10.2","5.5","25.5"
"6025","SALAD DRESSING, CREAMY","318.36","7.1","2.1","31.7"
"6026","CHEESE, OVEN CHEESE, 3.5% FAT, MADE WITH COLOSTRUM","70.27","4.9","4.9","3.4"
"6027","CHEESE SOUP, VEGETABLE BOUILLON, WHEAT FLOUR","89.39","2.3","4.6","6.9"
"6028","CHEESE SOUFFLE, LOW-FAT MILK","201.96","5.8","12.6","14.3"
"6037","SOUR CREAM SAUCE","150.57","9.9","2.4","11.1"
"6040","BLUE CHEESE SAUCE, THICKENED WITH FLOUR AND FAT","199.81","5.7","7.6","16.1"
"6041","CHEESE SALAD, SOUR CREAM DRESSING","112.33","2.1","6.9","8.3"
"6042","CHEESE PIE, BLUE CHEESE, SHORTCRUST PASTRY","486.85","23.4","10.6","39.1"
"6043","WHIPPED CREAM, SWEETENED, LOW-LACTOSE","365.44","8.8","1.8","35.6"
"6045","SOUR CREAM SAUCE WITH MUSTARD","129.06","4.5","2.8","10.9"
"6048","TZATZIKI, GREEK YOGHURT SAUCE","43.5","3","1.8","2.4"
"6050","GRATINATING SAUCE FOR VEGETABLES, PREPARED WITH MILK AND CHEESE","208.65","9.5","10.3","14.4"
"6051","CHOCOLATE MILK, COLD, LOW-FAT MILK, SWEETENED","56.17","7","3.1","1.7"
"7000","PORK, BOILED, SALT","275.81","0","26.7","18.9"
"7001","BACON, FRIED","471.56","0","19.5","44.4"
"7003","HAM, FATTY, OVEN-BAKED","304.49","0","26.5","22.3"
"7005","PORK KNUCKLE, HAM HOCK, SIMMERED","207.22","0","23.4","12.7"
"7006","PORK SHOULDER, OVEN-BAKED","303.3","0","26.5","22.1"
"7007","PORK CHOP, BREADED, STEKT","345.12","10.8","18.6","25.4"
"7008","PORK CHOP, GRILLED","356.36","0","25.4","28.6"
"7009","PORK GRAVY, PORK RIBS, NO ADDED FAT","184.99","2.4","8.1","16.1"
"7010","PEA SOUP WITH PORK","81.02","5.5","7","2.5"
"7012","OVEN-BAKED PORK FAT PANCAKE","193.83","15.4","8.6","10.7"
"7013","MINESTRONE SOUP","39.67","5.2","2.2","0.8"
"7015","PORK BEEF MINCE, FRIED","357.07","0","23","29.8"
"7016","PORK BEEF MINCE GRAVY","167.78","2.1","9.7","13.5"
"7017","BEEF STEAK MINCE GRAVY","109.7","2.1","11.1","6.3"
"7021","BOLOGNESE, PORK BEEF MINCE, TOMATO PUR�E, THICKENED","178.3","2.9","10.4","13.9"
"7022","MEATBALL, PORK-BEEF MINCE, FRIED","295.17","6.2","16.6","22.8"
"7023","MEATBALL, PORK-BEEF MINCE, BOILED","271.03","6.5","17.4","19.6"
"7024","MEATBALL, PORK-BEEF MINCE, OVEN-BAKED","271.03","6.5","17.4","19.6"
"7025","MEATBALL, BEEF STEAK MINCE, FRIED","205.07","6.4","18.3","11.8"
"7026","MEATBALL, MINCED ELK, FRIED","201.48","6.6","18","11.2"
"7027","MEATBALL, MINCED REINDEER, FRIED","242.59","8.1","16.4","15.8"
"7029","PORK BEEF MINCE PATTY, NO EGGS, FRIED","340.34","0","19.2","29.7"
"7031","MEATLOAF, PORK-BEEF, PRUNE FILLING","260.28","11.9","14.8","16.6"
"7033","MEATLOAF WITH VEGETABLES, PORK-BEEF, CREAM","247.85","6.4","14.2","18.2"
"7034","REINDEER MEATLOAF","183.08","8.1","16.5","9"
"7035","PORK BEEF MINCE SOUP","70.75","3.7","3.8","4.3"
"7036","CABBAGE STEW WITH POTATO AND PORK BEEF MINCE","74.81","5.9","3.4","3.8"
"7037","CABBAGE STEW WITH RICE AND PORK BEEF MINCE","100.86","6","4.6","6.2"
"7038","PORK BEEF MINCE AND VEGETABLE STEW","142.21","7.1","7.8","9"
"7039","MACARONI STEW WITH PORK BEEF MINCE","141.25","12.6","6.8","6.9"
"7040","RISOTTO, PORK BEEF MINCE AND VEGETABLE RISOTTO","122.37","13.7","5.1","5"
"7041","MINCED MEAT AND POTATO CASSEROLE, PORK BEEF MINCE, MILK","124.76","9.5","6.9","6.3"
"7042","MINCED MEAT AND POTATO CASSEROLE, LEAN STEAK MINCE, MILK","104.45","9.6","7.7","3.6"
"7043","PORK BEEF MINCE AND MASHED POTATO CASSEROLE, LOW-FAT MILK","123.8","10.6","6.1","6"
"7044","MACARONI AND PORK BEEF MINCE CASSEROLE, LOW-FAT MILK","122.61","8.9","7.3","6.3"
"7045","MACARONI AND BEEF STEAK MINCE CASSEROLE, LOW-FAT MILK","103.01","9","8.1","3.7"
"7047","CABBAGE CASSEROLE, PORK BEEF MINCE, LOW-FAT MILK","136.23","13","6.3","6.1"
"7048","CABBAGE CASSEROLE, BEEF STEAK MINCE, LOW-FAT MILK","112.09","13.2","7.2","2.9"
"7049","CABBAGE, CARROT AND PORK BEEF MINCE CASSEROLE, BEEF STOCK","107.31","4.4","4.3","7.7"
"7050","CABBAGE, CARROT AND LEAN STEAK MINCE CASSEROLE, BEEF STOCK","88.19","4.4","5","5.2"
"7051","STUFFED CABBAGE ROLLS, PORK BEEF MINCE","173.76","8.4","6","12.4"
"7053","ONION STUFFED WITH RICE AND PORK BEEF MINCE","121.65","10.7","5","6.3"
"7054","STUFFED SWEET PEPPERS, FILLED WITH RICE, ONION AND MINCED MEAT","109.46","9.8","4.4","5.6"
"7055","CREPES FILLED WITH PORK BEEF MINCE, LOW-FAT MILK","198.14","13.4","9.1","11.8"
"7058","OMELETTE, PORK BEEF MINCE OMELETTE","206.74","0.7","13.9","16.6"
"7059","RAVIOLI WITH MINCED MEAT FILLING, BOILED","224.43","26.5","8.4","9"
"7060","MEAT AND RICE PASTY","354.45","27.9","8.3","23.2"
"7063","MINCED MEAT STEW WITH VEGETABLES","143.88","3.2","7.5","11.1"
"7065","LASAGNE, PORK BEEF MINCE","167.07","13.2","8.4","8.7"
"7067","PORK GRAVY, PORK SHOULDER, NO ADDED FAT","124.04","2.4","10.2","8.2"
"7068","PORK AND POTATO CASSEROLE, LOW-FAT MILK","122.13","8.9","7.6","6"
"7069","PORK BEEF MINCE PATTY, FRIED","278.2","5.4","14.4","22.3"
"7070","DOUBLE HAMBURGER","274.62","13.2","15","18.6"
"7071","CHICKEN BURGER, WHEAT ROLL","263.15","20.5","8.9","16.8"
"7072","FISH BURGER","306.41","18.9","12.9","20.6"
"7073","CANNELONI, TUNA FILLING","128.82","11.7","10.8","4.1"
"7074","CANNELONI, PORK BEEF MINCE FILLING","133.84","10.9","6.8","6.9"
"7075","MACARONI AND PORK BEEF MINCE CASSEROLE, LOW-FAT MILK, WHOLE WHEAT MACARONI","124.28","8.9","7.4","6.4"
"7076","HAM, LEAN, OVEN-BAKED","170.65","0","29.4","5.8"
"7078","BEEF STEAK MINCE SOUP","53.78","3.9","4.6","2"
"7080","MEATBALL, BEEF STEAK MINCE, CREAM, OVEN-BAKED","191.92","6.4","18.5","10.1"
"7081","MEATBALL, BEEF STEAK MINCE, MUSHROOMS, FRIED","185.71","7.7","12.3","11.4"
"7082","BOLOGNESE, BEEF STEAK MINCE, TOMATO PUR�E, THICKENED","118.31","2.9","11.8","6.5"
"7083","PORK ROAST, LOW-FAT","161.33","0","27.8","5.5"
"7084","PORK SCHNITZEL, BREADED, FRIED","233.75","11.6","21.5","11.1"
"7085","BEEF STEAK, FRIED","199.33","0","28.9","9.3"
"7086","LEAN STEAK MINCE, 9% FAT, FRIED WITHOUT FAT","207.7","0","26.6","11.3"
"7087","PORK FLANK, SMOKED, FATTY","440.01","0","19.5","40.8"
"7088","BEEF MINCE GRAVY, NO ADDED FAT","134.32","2.2","10.7","9.2"
"7089","MEATBALL, BEEF MINCE, OVEN-BAKED","239.48","6.5","18.6","15.4"
"7090","PORK, KASSLER STEAK, OVEN-BAKED","288.96","0","25.3","21.1"
"7091","BEEF MINCE SOUP","60.23","4","3.9","3"
"7092","MACARONI AND BEEF MINCE CASSEROLE, LOW-FAT MILK","114.96","8.9","7.6","5.3"
"7093","LASAGNE, BEEF MINCE","174","14.3","9.4","8.5"
"7094","PORK CHOP, WITHOUT LARD, FRIED","265.54","0","30.8","15.9"
"7095","PORK FILLET, TENDERLOIN, OVEN-BAKED","167.54","0","28.1","6"
"7096","PORK CHOP, WITHOUT LARD, GRILLED","282.5","0.1","29.6","18.3"
"7097","DEEP-FRIED MEAT PASTY, INCLUDES SOYA FLOUR","358.27","26.2","9.9","23.6"
"7099","PORK ROAST, FRUITY, ORANGE JUICE, APPLE","224.19","2","18.6","15.8"
"7100","PORK CHOP, SOUR CREAM, OVEN-BAKED","444.31","2.3","11.8","43.7"
"7105","SPIT-ROASTED PORK AND VEGETABLES","163","8.7","11","8.8"
"7107","HAMBURGER WITH BEEF AND RYE BREAD","182.6","13.9","8.7","9.6"
"7150","BEEF, BOILED","201.96","0","23.9","11.9"
"7152","ROAST BEEF","160.37","0","30.6","4.1"
"7153","KARELIAN STEW, PORK AND BEEF","111.62","0","14.7","5.9"
"7155","BEEF STEAK, GRILLED","159.66","0","30.5","4.1"
"7156","BEEF SCHNITZEL, BREADED, FRIED","222.75","10.8","21.8","10.1"
"7157","BEEF CHOP, BREADED, FRIED","215.82","5.6","23.3","11.1"
"7159","BEEF GRAVY","104.45","3","9.2","6.1"
"7160","BEEF STEAK STEW, COOKING CREAM","117.11","2.6","13.1","5.9"
"7161","STROGANOFF","113.29","2.8","12.2","5.7"
"7162","BEEF IN DILL GRAVY","95.36","4.2","13.7","2.5"
"7163","MEAT SOUP, BEEF CHUCK","45.41","3.3","5.6","0.9"
"7164","MEAT SOUP, PORK","64.53","3.3","5.1","3.3"
"7165","MEAT SOUP, BEEF STEAK","44.69","3.3","5.7","0.7"
"7166","CABBAGE SOUP WITH BEEF","48.28","2.3","4.5","2"
"7167","CABBAGE SOUP WITH BEEF STEAK MINCE","50.91","2.3","5.3","2"
"7168","CABBAGE SOUP WITH BEEF AND POTATO","51.15","3.3","4","2.2"
"7169","BEEF STEAK STEW, MEAT BOUILLON, CARROTS","108.51","2.2","11.2","6"
"7170","BEEF AND POTATO CASSEROLE, BOUILLON","87.95","7.8","8.3","2.3"
"7172","LEAN STEAK MINCE PATTY, NO EGGS, FRIED","246.18","0","24.4","16.6"
"7173","MEATLOAF, BEEF STEAK, CREAM","191.68","6.3","17.4","10.5"
"7174","KARELIAN STEW, PORK, BEEF, LIVER, KIDNEY, HEART","114.72","0.2","15.4","5.8"
"7175","VEGETABLE AND PORK STEW WITH POTATO","117.35","5.7","8.4","6.6"
"7176","CHILI CON CARNE","162.52","6.1","9.2","10.7"
"7177","MEATLOAF WITH MUSHROOMS, PORK-BEEF, CREAM","206.98","7.9","11.8","14"
"7178","BEEF-VEGETABLE WOK","86.76","2.9","9.3","3.9"
"7179","LINDSTR�M'S STEAK, BEETROOT AND PORK BEEF MINCE","186.42","7","9.1","13.4"
"7180","ROULADE WITH SMOKED HAM, LOW-FAT","148.18","0","24.6","5.4"
"7181","MINESTRONE SOUP WITH BEEF, BEANS, SWEET PEPPER, LEEK AND CARROT","59.75","5.5","4.9","1.8"
"7182","MINESTRONE SOUP WITH BEEF MINCE AND VEGETABLES","78.15","5.5","4.5","4"
"7183","MINESTRONE SOUP WITH PORK BEEF MINCE AND VEGETABLES","84.37","5.5","4.3","4.8"
"7184","RISOTTO, BEEF MINCE AND VEGETABLE RISOTTO","130.74","15.5","6","4.6"
"7186","PORK RIBS, FRIED WITHOUT FAT","471.32","0","20.9","43.7"
"7187","MACARONI AND LEAN STEAK MINCE CASSEROLE, LOW-FAT, WITHOUT EGGS","104.45","7.6","8.7","4.2"
"7188","BARBEQUE SAUSAGE, FRIED","280.35","8.9","11","22.5"
"7189","BARBEQUE SAUSAGE, OVEN BAKED","246.89","9","11.2","18.6"
"7190","LEAN BEEF MINCE, FRIED WITHOUT FAT","152.25","0","20.7","7.7"
"7191","PORK BEEF MINCE, FRIED WITHOUT FAT","292.78","0","19.4","24.2"
"7192","LEAN STEAK MINCE PATTY, NO EGGS, FRIED WITHOUT FAT","205.78","0","26.4","11.1"
"7195","BEEF SIRLOIN STEAK, GRILLED","277.01","0.3","27.7","18.4"
"7249","BEEF WITH RED WINE SAUCE","122.61","2.3","14.8","4.8"
"7251","VEAL ROAST, OVEN-BAKED","154.64","0","32.1","2.8"
"7253","VEAL KNUCKLE, SIMMERED","239.72","0","29.4","13.6"
"7254","BEEF FRICASSEE","77.68","2.9","11.9","1.9"
"7299","LAMB, FILLED WITH LEEK AND PARSLEY","182.84","1.4","16.1","12.6"
"7300","LAMB, LOW-FAT, BOILED","241.16","0","25","15.8"
"7302","MUTTON AND PORK, BOILED MIXTURE","296.13","0","23.8","22.5"
"7304","MUTTON ROAST","224.19","0","22.7","14.9"
"7305","LAMB STEAK, FRIED","254.54","0","22.7","18.4"
"7306","MUTTON CHOP, BREADED","328.63","10.8","17.1","24.2"
"7307","LAMB AND CABBAGE STEW","120.7","3.3","7.4","8.5"
"7308","REINDEER, BOILED, SALT","179.97","0","30.4","6.4"
"7309","REINDEER ROAST","179.97","0","30.4","6.4"
"7311","ELK, FRIED","154.4","0","29","4.1"
"7312","ROASTED ELK, BAKED","131.21","0","24.7","3.5"
"7313","ELK MEAT GRAVY, BROWN GRAVY","89.87","3","11.6","3.4"
"7314","SAUTEED ELK, WITH PORK FAT","207.22","0","18.3","15"
"7315","HARE, GRILLED/FRIED","230.16","0","28.7","12.8"
"7316","RABBIT, GRILLED/FRIED","274.62","0","28.7","17.9"
"7317","SAUTEED REINDEER, BACON","139.1","0","17.7","7.6"
"7500","CHICKEN, BOILED WITH SALT","239.96","0","25.8","15.3"
"7501","CHICKEN SOUP WITH CELERIAC AND LEEK","95.36","0.9","9.2","6.1"
"7502","CHICKEN SOUP WITH VEGETABLES AND POTATO","86.28","3.2","8.1","4.5"
"7503","CHICKEN VEGETABLE STEW","129.78","3.2","10.9","8"
"7505","CHICKEN FRICASSEE","125","1.3","11.7","8.2"
"7506","CHICKEN MEAT BALL, FRIED","184.75","7.7","16.4","9.5"
"7507","CREPES FILLED WITH CHICKEN, LOW-FAT MILK","133.84","9.8","11.9","5"
"7510","CHICKEN, GRILLED","296.85","0","22.3","23.3"
"7511","GAME BIRD, GRILLED/FRIED","203.63","0","25.9","11.1"
"7512","GAME, AVERAGE, FRIED","188.34","0","26.4","9.2"
"7513","TURKEY, OVEN-BAKED","174.24","0","28","6.9"
"7514","CHICKEN SALAD WITH RICE PEAS, PICKLES, LEEK","104.45","10.4","7.3","3.4"
"7515","PAELLA WITH CHICKEN AND SHELLFISH","101.1","12.2","7.1","2.4"
"7516","CHINESE MEAT VEGETABLE GRAVY, SWEET-AND-SOUR","149.86","3.7","11.9","9.4"
"7517","CHINESE CHICKEN VEGETABLE GRAVY, SWEET AND SOUR","150.57","2.9","13.6","9.1"
"7518","CHICKEN SALAD, WITHOUT DRESSING","69.79","2.4","8","2.9"
"7519","CHICKEN STEW, COOKING CREAM AND VEGETABLES","103.49","1.4","13.2","4.7"
"7520","CHICKEN VEGETABLE GRAVY WITH CREME FRAICHE","107.79","4.3","9.1","5.8"
"7521","CHICKEN MEATBALL, OVEN  BAKED","156.55","11.9","14.4","5.4"
"7522","CHICKEN WITH SKIN, GRILLED WITHOUT ADDED FAT","224.9","0","23.7","14.5"
"7523","CHICKEN MARINATED, WITH SKIN, OVEN-BAKED","224.9","0.2","27.7","12.6"
"7525","CHICKEN-VEGETABLE WOK WITH TOMATO PUREE AND SOY SAUCE","91.3","2.6","10.9","3.8"
"7529","CHICKEN BREAST WITH SKIN, FRIED","215.11","0","25.7","12.5"
"7530","CHICKEN BREAST WITHOUT SKIN, FRIED","167.07","0","26.5","6.7"
"7531","CHICKEN SCHNITZEL, BREADED, FRIED","222.75","11.6","23","9.1"
"7535","TURKEY BREAST, FRIED","186.9","0","31","6.9"
"7536","TURKEY BREAST, OVEN-BAKED","172.32","0","36.3","2.8"
"7537","CHICKEN LEG AND THIGH WITH SKIN, GRILLED","296.37","0","25.6","21.8"
"7538","CHICKEN MACARONI SOUP WITH BEANS, SWEET PEPPER, LEEK AND CARROT","60.71","5.5","4.8","1.9"
"7540","CHICKEN NUGGETS, DEEP-FRIED, LACTOSE-FREE","266.01","15.3","14.7","16.1"
"7545","ORANGE CHICKEN","169.69","11.3","18.2","5.3"
"7549","CHICKEN FILLET, OVEN BAKED","144.12","0","29.7","2.7"
"7600","FRANKFURTER, BOILED","233.27","1.2","11.3","18.2"
"7601","FRANKFURTER, GRILLED","250.72","1.3","12.2","19.6"
"7602","FRANKFURTER, FRIED","284.42","1.2","12","23.5"
"7603","FRANKFURTER-VEGETABLE CASSEROLE","122.37","3","7.7","8.1"
"7604","FRANKFURTER STROGANOFF","148.42","3.2","5.6","11.5"
"7605","BORSCH WITH FRANKFURTERS","52.82","2.3","2.5","3.1"
"7606","BORSCH WITH BEEF","31.79","2.1","4.1","0.5"
"7607","SAUSAGE, RING BOLOGNA, BOILED","228.73","7.6","9.7","15.8"
"7608","SAUSAGE, RING BOLOGNA, GRILLED","245.94","8.2","10.4","17"
"7609","SAUSAGE, RING BOLOGNA, FRIED","279.64","8.1","10.3","21"
"7610","GROAT SAUSAGE, FRIED","293.5","21.5","8.5","17.5"
"7612","SAUSAGE, RING BOLOGNA, OVEN-BAKED, WITH CHEESE AND MUSTARD","263.15","7.1","12.8","18.7"
"7613","SAUSAGE GRAVY","133.6","6.4","4.9","8.9"
"7614","FRANKFURTER GRAVY","136.23","3.5","5.7","10"
"7615","SAUSAGE SOUP","61.66","5.2","2.4","2.9"
"7616","FRANKFURTER SOUP, LIGHT FRANKFURTERS","48.76","4.7","2.8","1.7"
"7617","SAUSAGE SOUP, FRESH SAUSAGE, SISKONMAKKARA SOUP","67.16","4","2.8","3.8"
"7618","SAUSAGE STEW WITH POTATO AND VEGETABLES","106.36","8.7","4.3","5.1"
"7619","RISOTTO, SAUSAGE AND VEGETABLE RISOTTO","140.06","14.3","4.6","6.3"
"7620","SAUSAGE AND MASHED POTATO CASSEROLE, RING BOLOGNA, LOW-FAT MILK","119.5","12.9","4.4","4.8"
"7622","SAUSAGE HASH, RING BOLOGNA, POTATO, WITHOUT EGG","161.57","11","4.8","10"
"7623","OMELETTE, COUNTRY FRENCH OMELETTE, EGG, POTATO, SAUSAGE, ONION","157.98","6.1","8.9","10.4"
"7624","OMELETTE, SAUSAGE OMELETTE","199.09","2.7","12","15"
"7628","EGG AND HAM CASSEROLE","105.88","3.5","9.6","6"
"7630","OMELETTE, HAM OMELETTE","162.76","0.2","14.3","11.8"
"7631","SALAD, ITALIAN SALAD WITHOUT MAYONNAISE","67.16","9.8","3.8","0.9"
"7632","HAM AND POTATO CASSEROLE, COOKING CREAM","118.79","8.3","4.8","6.9"
"7633","HAM VEGETABLE GRAVY, MILK, CREME FRAICHE","170.89","3.4","9.7","13"
"7634","SAUSAGE SALAD, MACARONI, VEGETABLES, WITHOUT DRESSING","142.69","4.1","9.9","9.6"
"7635","HAM SALAD WITH POTATO, VEGETABLES AND MACARONI, WITHOUT DRESSING","57.36","4.9","5.1","1.7"
"7641","SAUSAGE, RING BOLOGNA, FRIED WITHOUT FAT","254.3","8.4","10.8","17.6"
"7643","FRANKFURTER, FRIED WITHOUT FAT","259.08","1.3","12.6","20.3"
"7647","GROAT SAUSAGE, FRIED WITHOUT FAT","268.88","22.5","8.9","14"
"7850","LIVER, BOILED, SALT","187.14","5.7","27.7","5.8"
"7851","ROASTED LIVER","202.68","5.5","27","8"
"7852","LIVER STEAK, BREADED, FRIED","188.58","7.8","21.3","7.9"
"7853","MINCED LIVER STEAK, LIVER, POTATO, ONION","147.71","10.3","11","6.7"
"7854","REINDEER LIVER STEAK","166.35","6.8","13.8","9.1"
"7855","LIVER GRAVY, COOKING CREAM","125.48","4.6","10.1","7.2"
"7856","CHICKEN LIVER GRAVY, COOKING CREAM","85.33","2.9","7.7","4.6"
"7857","MINCED LIVER GRAVY","100.86","4.2","9.8","4.9"
"7863","LIVER STEW WITH POTATO","92.02","4.9","7.9","4.4"
"7865","KIDNEY, BOILED, SALT","135.52","0","22.2","5.1"
"7866","KIDNEY, FRIED WITH WHEAT FLOUR","181.88","5.5","18.1","9.7"
"7867","KIDNEY GRAVY, COOKING CREAM, THICKENED","78.87","2.7","6.5","4.5"
"7869","TONGUE, BEEF, BOILED","284.42","0","23.7","21.3"
"7871","BLOOD PANCAKE","173.52","12.2","7.3","10.4"
"7876","LIVER CASSEROLE, RICE, LOW-FAT MILK","110.9","15.1","5.9","2.7"
"8000","FISH, AVERAGE, BOILED","110.9","0","20.5","3.1"
"8001","LUTEFISH","86.04","0","19.3","0.8"
"8002","FISH, AVERAGE, GRILLED","129.78","0","24","3.7"
"8003","FISH, BREADED, OVEN-BAKED","148.66","2.2","21.6","5.9"
"8004","PIKE, FILLED WITH PRUNES, RICE AND EGGS, OVEN-BAKED","161.57","13.7","17.1","3.8"
"8005","BALTIC HERRING FILLET WITH CREAM, BREADED, OVEN-BAKED","198.85","2.1","16.3","13.7"
"8006","FISH, AVERAGE, BREADED, FRIED","185.23","6.4","18.5","9.4"
"8007","BALTIC HERRING, BREADED, FRIED","193.59","3.8","17.2","12"
"8008","VENDACE, FRIED","183.56","3.8","19.7","9.8"
"8009","PERCH, BREADED, FRIED","157.74","4.7","19.9","6.5"
"8010","PIKE, BREADED, FRIED","174.95","8.3","19.1","7.1"
"8011","POWAN, BREADED, FRIED","187.38","8.3","20.4","7.9"
"8012","SALMON FILLET, BREADED, FRIED","277.01","8.3","18.8","18.8"
"8013","FLOUNDER, FRIED","114.48","0","16.9","5.2"
"8014","SAITHE, BREADED, FRIED","173.76","8.2","17.8","7.6"
"8017","FISH BALL, FRIED","165.87","6.7","19","6.9"
"8018","FISH BALL, BOILED","135.52","6.6","18.7","3.6"
"8019","FISH LOAF, MILK","144.6","6.1","15.8","6.3"
"8020","FISH SOUP, FRESH FISH, MILK BASED","64.77","5.5","5.9","2"
"8021","FISH SOUP, SAITHE, LOW-FAT MILK","59.03","5.4","5.6","1.5"
"8022","FISH SOUP, CLEAR","49.24","3.6","4.9","1.5"
"8023","RUSSIAN FISH SOUP, SOLYANKA","41.35","2.6","5.8","0.7"
"8024","FISH SOUP WITH POTATO AND ROOT VEGETABLES","41.11","3.4","4.8","0.7"
"8029","BURBOT STEW","96.56","1.7","12.4","4.3"
"8030","BALTIC HERRING CASSEROLE, POTATO, LOW-FAT MILK","114.72","7.9","8.2","5.4"
"8031","FISH AND POTATO CASSEROLE, LOW-FAT MILK","89.15","8.7","7.8","2.3"
"8032","FISH AND RICE CASSEROLE, CREAM","189.29","13.5","12.5","8.9"
"8033","JANSSON'S CASSEROLE, JANSSON'S TEMPTATION, COOKING CREAM","147.23","11.7","5.3","8.1"
"8034","MACARONI AND FISH CASSEROLE, FISH AVERAGE, LOW-FAT MILK","100.14","7.9","9.3","3.3"
"8035","SAITHE SPINACH CASSEROLE, LOW-FAT MILK","98.71","3.2","10.9","4.6"
"8038","FISH VEGETABLE CASSEROLE, MILK, EGG","114.24","3.5","12.4","5.5"
"8039","FISH POTATO STEW","60.95","5.4","7","1"
"8041","BALTIC HERRING IN TOMATO SAUCE","123.09","1.2","12.7","7.3"
"8042","PIKE � LA HOMBURG","172.32","3.3","18","9.3"
"8043","SAITHE WITH WHITE SAUCE, CHEESE, LOW-FAT MILK, BREADCRUMBS, OVEN-BAKED","116.87","4.2","12.9","5.3"
"8046","FISH VEGETABLE CASSEROLE, SAITHE, VEGETABLES, PROCESSED CHEESE, MILK","99.67","2.8","10.6","4.9"
"8047","TUNA SALAD WITH POTATO, WITHOUT DRESSING","94.89","5.9","9.2","3.5"
"8048","SALAD WITH SMOKED FISH, LETTUCE AND EGG, WITHOUT DRESSING","108.03","0.3","12.8","6.1"
"8050","SALAD WITH SMOKED FISH, CHIVES, POTATO AND BEETROOT, WITHOUT DRESSING","77.2","5.2","7.3","2.7"
"8051","SALAD WITH SMOKED FISH, COTTAGE CHEESE, PEAS, WITHOUT DRESSING","108.99","2.9","15","4"
"8053","SHELLFISH AND MUSHROOM SALAD, WITHOUT DRESSING","38.48","1","6.7","0.6"
"8060","SALMON SOUP, MILK BASED","90.34","5.5","6.1","4.7"
"8062","RAINBOW TROUT SOUP, MILK BASED","79.35","5.5","5.6","3.7"
"8063","RAINBOW TROUT, BREADED, FRIED","243.79","4.6","18.4","17"
"8065","TUNA SALAD WITH RICE, WITHOUT DRESSING","108.03","7.3","8","4.9"
"8068","BALTIC HERRING, BOILED","135.04","0","18.3","6.9"
"8069","CREAMY TUNA GRAVY","142.69","3.6","12.6","8.4"
"8070","CREAMY SHRIMP GRAVY","138.86","2.6","6.5","11.1"
